final_photo,inspiration,similarity
data\final_submissions\1\8.png,data\ai\1A_11.png,0.5627343729138374
data\final_submissions\1\8.png,data\ai\1A_12.png,0.5627343729138374
data\final_submissions\1\8.png,data\ai\1A_13.png,0.5964459180831909
data\final_submissions\1\8.png,data\ai\1B_11.png,0.5669940114021301
data\final_submissions\1\8.png,data\ai\1B_12_1.png,0.5610198453068733
data\final_submissions\1\8.png,data\ai\1B_12_2.png,0.5720020681619644
data\final_submissions\1\8.png,data\ai\1B_12_3.png,0.558950562030077
data\final_submissions\1\8.png,data\ai\1B_12_4.png,0.5475774928927422
data\final_submissions\1\8.png,data\ai\1B_13_1.png,0.5624689757823944
data\final_submissions\1\8.png,data\ai\1B_13_2.png,0.5649192035198212
data\final_submissions\1\8.png,data\ai\1B_13_3.png,0.5371513552963734
data\final_submissions\1\8.png,data\ai\1B_13_4.png,0.5745327323675156
data\final_submissions\1\8.png,data\ai\1B_14.png,0.5661341845989227
data\final_submissions\1\8.png,data\ai\1B_15_1.png,0.5509233176708221
data\final_submissions\1\8.png,data\ai\1B_15_2.png,0.5596806071698666
data\final_submissions\1\8.png,data\ai\1B_15_3.png,0.5648726373910904
data\final_submissions\1\8.png,data\ai\1B_15_4.png,0.5209074337035418
data\final_submissions\1\8.png,data\ai\1B_16_1.png,0.5650580748915672
data\final_submissions\1\8.png,data\ai\1B_16_2.png,0.5888492166996002
data\final_submissions\1\8.png,data\ai\1B_16_3.png,0.5487501621246338
data\final_submissions\1\8.png,data\ai\1B_16_4.png,0.5693853944540024
data\final_submissions\1\8.png,data\ai\1B_17_1.png,0.5445765480399132
data\final_submissions\1\8.png,data\ai\1B_17_2.png,0.5490392073988914
data\final_submissions\1\8.png,data\ai\1B_17_3.png,0.5593249499797821
data\final_submissions\1\8.png,data\ai\1B_17_4.png,0.5553883835673332
data\final_submissions\1\8.png,data\ai\1B_18_1.png,0.5593084804713726
data\final_submissions\1\8.png,data\ai\1B_18_2.png,0.5458421111106873
data\final_submissions\1\8.png,data\ai\1B_18_3.png,0.5424855723977089
data\final_submissions\1\8.png,data\ai\1B_18_4.png,0.5503861904144287
data\final_submissions\1\8.png,data\web\1A_1.jpg,0.5939707234501839
data\final_submissions\1\8.png,data\web\1A_10.jpg,0.7039586454629898
data\final_submissions\1\8.png,data\web\1A_2.jpg,0.5521225929260254
data\final_submissions\1\8.png,data\web\1A_3.jpg,0.593829408288002
data\final_submissions\1\8.png,data\web\1A_4.jpg,0.5653507336974144
data\final_submissions\1\8.png,data\web\1A_5.jpg,0.5575259327888489
data\final_submissions\1\8.png,data\web\1A_6.jpg,0.6038007736206055
data\final_submissions\1\8.png,data\web\1A_7.jpg,0.6240094974637032
data\final_submissions\1\8.png,data\web\1A_8.jpg,0.560342013835907
data\final_submissions\1\8.png,data\web\1A_9.jpg,0.5728977620601654
data\final_submissions\1\8.png,data\web\1B_1.JPG,0.5833532512187958
data\final_submissions\1\8.png,data\web\1B_10.JPG,0.5693396925926208
data\final_submissions\1\8.png,data\web\1B_2.JPG,0.5633822679519653
data\final_submissions\1\8.png,data\web\1B_3.JPG,0.6346308290958405
data\final_submissions\1\8.png,data\web\1B_4.JPG,0.5619375556707382
data\final_submissions\1\8.png,data\web\1B_5.JPG,0.5462385267019272
data\final_submissions\1\8.png,data\web\1B_6.JPG,0.542275682091713
data\final_submissions\1\8.png,data\web\1B_7.JPG,0.5795063152909279
data\final_submissions\1\8.png,data\web\1B_8.JPG,0.5733318254351616
data\final_submissions\1\8.png,data\web\1B_9.JPG,0.5737212225794792
data\final_submissions\1\2.png,data\ai\1A_11.png,0.9080507755279541
data\final_submissions\1\2.png,data\ai\1A_12.png,0.9080507755279541
data\final_submissions\1\2.png,data\ai\1A_13.png,0.9034440517425537
data\final_submissions\1\2.png,data\ai\1B_11.png,0.8758997619152069
data\final_submissions\1\2.png,data\ai\1B_12_1.png,0.8516156077384949
data\final_submissions\1\2.png,data\ai\1B_12_2.png,0.8743593096733093
data\final_submissions\1\2.png,data\ai\1B_12_3.png,0.9037521779537201
data\final_submissions\1\2.png,data\ai\1B_12_4.png,0.9157347083091736
data\final_submissions\1\2.png,data\ai\1B_13_1.png,0.8925555944442749
data\final_submissions\1\2.png,data\ai\1B_13_2.png,0.856009304523468
data\final_submissions\1\2.png,data\ai\1B_13_3.png,0.8279387950897217
data\final_submissions\1\2.png,data\ai\1B_13_4.png,0.9013800024986267
data\final_submissions\1\2.png,data\ai\1B_14.png,0.8940690159797668
data\final_submissions\1\2.png,data\ai\1B_15_1.png,0.8600284159183502
data\final_submissions\1\2.png,data\ai\1B_15_2.png,0.8872064352035522
data\final_submissions\1\2.png,data\ai\1B_15_3.png,0.9029995203018188
data\final_submissions\1\2.png,data\ai\1B_15_4.png,0.6722732931375504
data\final_submissions\1\2.png,data\ai\1B_16_1.png,0.8903994858264923
data\final_submissions\1\2.png,data\ai\1B_16_2.png,0.9003930687904358
data\final_submissions\1\2.png,data\ai\1B_16_3.png,0.8976665139198303
data\final_submissions\1\2.png,data\ai\1B_16_4.png,0.8937225043773651
data\final_submissions\1\2.png,data\ai\1B_17_1.png,0.8897770643234253
data\final_submissions\1\2.png,data\ai\1B_17_2.png,0.8944386839866638
data\final_submissions\1\2.png,data\ai\1B_17_3.png,0.9020426273345947
data\final_submissions\1\2.png,data\ai\1B_17_4.png,0.8950278162956238
data\final_submissions\1\2.png,data\ai\1B_18_1.png,0.8978575170040131
data\final_submissions\1\2.png,data\ai\1B_18_2.png,0.9008793532848358
data\final_submissions\1\2.png,data\ai\1B_18_3.png,0.8914735317230225
data\final_submissions\1\2.png,data\ai\1B_18_4.png,0.9173412322998047
data\final_submissions\1\2.png,data\web\1A_1.jpg,0.7879148423671722
data\final_submissions\1\2.png,data\web\1A_10.jpg,0.626342236995697
data\final_submissions\1\2.png,data\web\1A_2.jpg,0.8820674419403076
data\final_submissions\1\2.png,data\web\1A_3.jpg,0.8095302581787109
data\final_submissions\1\2.png,data\web\1A_4.jpg,0.8874295949935913
data\final_submissions\1\2.png,data\web\1A_5.jpg,0.8817331790924072
data\final_submissions\1\2.png,data\web\1A_6.jpg,0.6612500846385956
data\final_submissions\1\2.png,data\web\1A_7.jpg,0.8680930435657501
data\final_submissions\1\2.png,data\web\1A_8.jpg,0.8357775807380676
data\final_submissions\1\2.png,data\web\1A_9.jpg,0.8561027646064758
data\final_submissions\1\2.png,data\web\1B_1.JPG,0.7224267274141312
data\final_submissions\1\2.png,data\web\1B_10.JPG,0.8394225239753723
data\final_submissions\1\2.png,data\web\1B_2.JPG,0.700209766626358
data\final_submissions\1\2.png,data\web\1B_3.JPG,0.7249156385660172
data\final_submissions\1\2.png,data\web\1B_4.JPG,0.7504684329032898
data\final_submissions\1\2.png,data\web\1B_5.JPG,0.7060601711273193
data\final_submissions\1\2.png,data\web\1B_6.JPG,0.8711189031600952
data\final_submissions\1\2.png,data\web\1B_7.JPG,0.8895623683929443
data\final_submissions\1\2.png,data\web\1B_8.JPG,0.7022945284843445
data\final_submissions\1\2.png,data\web\1B_9.JPG,0.7498617172241211
data\final_submissions\1\6.png,data\ai\1A_11.png,0.8995716869831085
data\final_submissions\1\6.png,data\ai\1A_12.png,0.8995716869831085
data\final_submissions\1\6.png,data\ai\1A_13.png,0.8819978833198547
data\final_submissions\1\6.png,data\ai\1B_11.png,0.8911255896091461
data\final_submissions\1\6.png,data\ai\1B_12_1.png,0.8672210574150085
data\final_submissions\1\6.png,data\ai\1B_12_2.png,0.8911360800266266
data\final_submissions\1\6.png,data\ai\1B_12_3.png,0.8951854109764099
data\final_submissions\1\6.png,data\ai\1B_12_4.png,0.909079909324646
data\final_submissions\1\6.png,data\ai\1B_13_1.png,0.8538396954536438
data\final_submissions\1\6.png,data\ai\1B_13_2.png,0.8739445209503174
data\final_submissions\1\6.png,data\ai\1B_13_3.png,0.8387671113014221
data\final_submissions\1\6.png,data\ai\1B_13_4.png,0.8845589756965637
data\final_submissions\1\6.png,data\ai\1B_14.png,0.890290379524231
data\final_submissions\1\6.png,data\ai\1B_15_1.png,0.8460415899753571
data\final_submissions\1\6.png,data\ai\1B_15_2.png,0.8884965181350708
data\final_submissions\1\6.png,data\ai\1B_15_3.png,0.8900119066238403
data\final_submissions\1\6.png,data\ai\1B_15_4.png,0.729995459318161
data\final_submissions\1\6.png,data\ai\1B_16_1.png,0.8979313373565674
data\final_submissions\1\6.png,data\ai\1B_16_2.png,0.9095302224159241
data\final_submissions\1\6.png,data\ai\1B_16_3.png,0.8992264270782471
data\final_submissions\1\6.png,data\ai\1B_16_4.png,0.8867009282112122
data\final_submissions\1\6.png,data\ai\1B_17_1.png,0.8643985390663147
data\final_submissions\1\6.png,data\ai\1B_17_2.png,0.8723310828208923
data\final_submissions\1\6.png,data\ai\1B_17_3.png,0.8830634653568268
data\final_submissions\1\6.png,data\ai\1B_17_4.png,0.8840753734111786
data\final_submissions\1\6.png,data\ai\1B_18_1.png,0.9040348827838898
data\final_submissions\1\6.png,data\ai\1B_18_2.png,0.8750779032707214
data\final_submissions\1\6.png,data\ai\1B_18_3.png,0.8735181391239166
data\final_submissions\1\6.png,data\ai\1B_18_4.png,0.8899207711219788
data\final_submissions\1\6.png,data\web\1A_1.jpg,0.8239275217056274
data\final_submissions\1\6.png,data\web\1A_10.jpg,0.6366917192935944
data\final_submissions\1\6.png,data\web\1A_2.jpg,0.853945404291153
data\final_submissions\1\6.png,data\web\1A_3.jpg,0.7973576784133911
data\final_submissions\1\6.png,data\web\1A_4.jpg,0.8967058062553406
data\final_submissions\1\6.png,data\web\1A_5.jpg,0.8555499315261841
data\final_submissions\1\6.png,data\web\1A_6.jpg,0.6694995164871216
data\final_submissions\1\6.png,data\web\1A_7.jpg,0.8821747899055481
data\final_submissions\1\6.png,data\web\1A_8.jpg,0.8299583792686462
data\final_submissions\1\6.png,data\web\1A_9.jpg,0.8838453888893127
data\final_submissions\1\6.png,data\web\1B_1.JPG,0.7513753175735474
data\final_submissions\1\6.png,data\web\1B_10.JPG,0.8305649161338806
data\final_submissions\1\6.png,data\web\1B_2.JPG,0.7635689377784729
data\final_submissions\1\6.png,data\web\1B_3.JPG,0.781475305557251
data\final_submissions\1\6.png,data\web\1B_4.JPG,0.7857537865638733
data\final_submissions\1\6.png,data\web\1B_5.JPG,0.7595082819461823
data\final_submissions\1\6.png,data\web\1B_6.JPG,0.8427389562129974
data\final_submissions\1\6.png,data\web\1B_7.JPG,0.8912666141986847
data\final_submissions\1\6.png,data\web\1B_8.JPG,0.7440968900918961
data\final_submissions\1\6.png,data\web\1B_9.JPG,0.7583536505699158
data\final_submissions\1\5.png,data\ai\1A_11.png,0.8470184206962585
data\final_submissions\1\5.png,data\ai\1A_12.png,0.8470184206962585
data\final_submissions\1\5.png,data\ai\1A_13.png,0.8766687214374542
data\final_submissions\1\5.png,data\ai\1B_11.png,0.8415412306785583
data\final_submissions\1\5.png,data\ai\1B_12_1.png,0.7973240613937378
data\final_submissions\1\5.png,data\ai\1B_12_2.png,0.8385539054870605
data\final_submissions\1\5.png,data\ai\1B_12_3.png,0.850713700056076
data\final_submissions\1\5.png,data\ai\1B_12_4.png,0.8776686787605286
data\final_submissions\1\5.png,data\ai\1B_13_1.png,0.8575717210769653
data\final_submissions\1\5.png,data\ai\1B_13_2.png,0.8015321493148804
data\final_submissions\1\5.png,data\ai\1B_13_3.png,0.7774921655654907
data\final_submissions\1\5.png,data\ai\1B_13_4.png,0.8634878396987915
data\final_submissions\1\5.png,data\ai\1B_14.png,0.8461363315582275
data\final_submissions\1\5.png,data\ai\1B_15_1.png,0.8003880083560944
data\final_submissions\1\5.png,data\ai\1B_15_2.png,0.838200718164444
data\final_submissions\1\5.png,data\ai\1B_15_3.png,0.8481183648109436
data\final_submissions\1\5.png,data\ai\1B_15_4.png,0.6320503056049347
data\final_submissions\1\5.png,data\ai\1B_16_1.png,0.8637414276599884
data\final_submissions\1\5.png,data\ai\1B_16_2.png,0.8707467913627625
data\final_submissions\1\5.png,data\ai\1B_16_3.png,0.8528904914855957
data\final_submissions\1\5.png,data\ai\1B_16_4.png,0.8377023339271545
data\final_submissions\1\5.png,data\ai\1B_17_1.png,0.8561506569385529
data\final_submissions\1\5.png,data\ai\1B_17_2.png,0.8545476198196411
data\final_submissions\1\5.png,data\ai\1B_17_3.png,0.8657251000404358
data\final_submissions\1\5.png,data\ai\1B_17_4.png,0.8534581363201141
data\final_submissions\1\5.png,data\ai\1B_18_1.png,0.8479310572147369
data\final_submissions\1\5.png,data\ai\1B_18_2.png,0.8612090945243835
data\final_submissions\1\5.png,data\ai\1B_18_3.png,0.8241651058197021
data\final_submissions\1\5.png,data\ai\1B_18_4.png,0.8708154559135437
data\final_submissions\1\5.png,data\web\1A_1.jpg,0.7663054168224335
data\final_submissions\1\5.png,data\web\1A_10.jpg,0.6636897474527359
data\final_submissions\1\5.png,data\web\1A_2.jpg,0.8656648695468903
data\final_submissions\1\5.png,data\web\1A_3.jpg,0.8119170963764191
data\final_submissions\1\5.png,data\web\1A_4.jpg,0.8419369757175446
data\final_submissions\1\5.png,data\web\1A_5.jpg,0.871399313211441
data\final_submissions\1\5.png,data\web\1A_6.jpg,0.6839615702629089
data\final_submissions\1\5.png,data\web\1A_7.jpg,0.8597021698951721
data\final_submissions\1\5.png,data\web\1A_8.jpg,0.8394970595836639
data\final_submissions\1\5.png,data\web\1A_9.jpg,0.8430633246898651
data\final_submissions\1\5.png,data\web\1B_1.JPG,0.7014220058917999
data\final_submissions\1\5.png,data\web\1B_10.JPG,0.8303747177124023
data\final_submissions\1\5.png,data\web\1B_2.JPG,0.6696570068597794
data\final_submissions\1\5.png,data\web\1B_3.JPG,0.7145709097385406
