final_image,inspiration_image,similarity
data\final_submissions\1\3.png,data\ai\1A_11.png,0.7258818253144084
data\final_submissions\1\3.png,data\ai\1A_12.png,0.7258818253144084
data\final_submissions\1\3.png,data\ai\1A_13.png,0.7242678303285145
data\final_submissions\1\3.png,data\ai\1B_11.png,0.7396487977915405
data\final_submissions\1\3.png,data\ai\1B_12_1.png,0.7252214130563583
data\final_submissions\1\3.png,data\ai\1B_12_2.png,0.7395045465347319
data\final_submissions\1\3.png,data\ai\1B_12_3.png,0.7303561176485709
data\final_submissions\1\3.png,data\ai\1B_12_4.png,0.723546909071289
data\final_submissions\1\3.png,data\ai\1B_13_1.png,0.7461725546655903
data\final_submissions\1\3.png,data\ai\1B_13_2.png,0.7326656729209898
data\final_submissions\1\3.png,data\ai\1B_13_3.png,0.7280156600230727
data\final_submissions\1\3.png,data\ai\1B_13_4.png,0.7599417002226023
data\final_submissions\1\3.png,data\ai\1B_14.png,0.7320072740114854
data\final_submissions\1\3.png,data\ai\1B_15_1.png,0.7354106127860925
data\final_submissions\1\3.png,data\ai\1B_15_2.png,0.7308014193728691
data\final_submissions\1\3.png,data\ai\1B_15_3.png,0.7298324425681941
data\final_submissions\1\3.png,data\ai\1B_15_4.png,0.730191866037245
data\final_submissions\1\3.png,data\ai\1B_16_1.png,0.7405833021885109
data\final_submissions\1\3.png,data\ai\1B_16_2.png,0.7442375931601568
data\final_submissions\1\3.png,data\ai\1B_16_3.png,0.7458203929150811
data\final_submissions\1\3.png,data\ai\1B_16_4.png,0.7598085386728932
data\final_submissions\1\3.png,data\ai\1B_17_1.png,0.7370183080920506
data\final_submissions\1\3.png,data\ai\1B_17_2.png,0.7417950160045371
data\final_submissions\1\3.png,data\ai\1B_17_3.png,0.7370083276176786
data\final_submissions\1\3.png,data\ai\1B_17_4.png,0.7383924308712858
data\final_submissions\1\3.png,data\ai\1B_18_1.png,0.7261274292013872
data\final_submissions\1\3.png,data\ai\1B_18_2.png,0.7417361243212022
data\final_submissions\1\3.png,data\ai\1B_18_3.png,0.7289016366535586
data\final_submissions\1\3.png,data\ai\1B_18_4.png,0.7398808485474293
data\final_submissions\1\3.png,data\web\1A_1.jpg,0.7257597099196313
data\final_submissions\1\3.png,data\web\1A_10.jpg,0.8201248469830459
data\final_submissions\1\3.png,data\web\1A_2.jpg,0.7385979434341906
data\final_submissions\1\3.png,data\web\1A_3.jpg,0.7311284583875606
data\final_submissions\1\3.png,data\web\1A_4.jpg,0.7259300936440135
data\final_submissions\1\3.png,data\web\1A_5.jpg,0.7531031610187167
data\final_submissions\1\3.png,data\web\1A_6.jpg,0.818453607076516
data\final_submissions\1\3.png,data\web\1A_7.jpg,0.7458082310412626
data\final_submissions\1\3.png,data\web\1A_8.jpg,0.7364755215860901
data\final_submissions\1\3.png,data\web\1A_9.jpg,0.7374168758980855
data\final_submissions\1\3.png,data\web\1B_1.JPG,0.7501953603009364
data\final_submissions\1\3.png,data\web\1B_10.JPG,0.7441877664019757
data\final_submissions\1\3.png,data\web\1B_2.JPG,0.7394748771148465
data\final_submissions\1\3.png,data\web\1B_3.JPG,0.7568336540758659
data\final_submissions\1\3.png,data\web\1B_4.JPG,0.7417492188869445
data\final_submissions\1\3.png,data\web\1B_5.JPG,0.7455769061502947
data\final_submissions\1\3.png,data\web\1B_6.JPG,0.7483347491967227
data\final_submissions\1\3.png,data\web\1B_7.JPG,0.7305972482559011
data\final_submissions\1\3.png,data\web\1B_8.JPG,0.7472823163713229
data\final_submissions\1\3.png,data\web\1B_9.JPG,0.7307291645193759
data\final_submissions\1\1.png,data\ai\1A_11.png,0.930363813098061
data\final_submissions\1\1.png,data\ai\1A_12.png,0.930363813098061
data\final_submissions\1\1.png,data\ai\1A_13.png,0.9261087095168578
data\final_submissions\1\1.png,data\ai\1B_11.png,0.9608411382988602
data\final_submissions\1\1.png,data\ai\1B_12_1.png,0.9393496922211442
data\final_submissions\1\1.png,data\ai\1B_12_2.png,0.9607354301675817
data\final_submissions\1\1.png,data\ai\1B_12_3.png,0.9408304967841186
data\final_submissions\1\1.png,data\ai\1B_12_4.png,0.9361712922596683
data\final_submissions\1\1.png,data\ai\1B_13_1.png,0.958883114029947
data\final_submissions\1\1.png,data\ai\1B_13_2.png,0.9597280943347528
data\final_submissions\1\1.png,data\ai\1B_13_3.png,0.9525008612911943
data\final_submissions\1\1.png,data\ai\1B_13_4.png,0.9592346653339543
data\final_submissions\1\1.png,data\ai\1B_14.png,0.9513331572581822
data\final_submissions\1\1.png,data\ai\1B_15_1.png,0.9474465481183482
data\final_submissions\1\1.png,data\ai\1B_15_2.png,0.9506827856236506
data\final_submissions\1\1.png,data\ai\1B_15_3.png,0.954016550224568
data\final_submissions\1\1.png,data\ai\1B_15_4.png,0.9474230587551515
data\final_submissions\1\1.png,data\ai\1B_16_1.png,0.956509508652367
data\final_submissions\1\1.png,data\ai\1B_16_2.png,0.9599732004872319
data\final_submissions\1\1.png,data\ai\1B_16_3.png,0.9602414056978154
data\final_submissions\1\1.png,data\ai\1B_16_4.png,0.9571025398669213
data\final_submissions\1\1.png,data\ai\1B_17_1.png,0.9503103951140113
data\final_submissions\1\1.png,data\ai\1B_17_2.png,0.9498587382611617
data\final_submissions\1\1.png,data\ai\1B_17_3.png,0.9459394009310377
data\final_submissions\1\1.png,data\ai\1B_17_4.png,0.9516701994909716
data\final_submissions\1\1.png,data\ai\1B_18_1.png,0.9504122501438492
data\final_submissions\1\1.png,data\ai\1B_18_2.png,0.9518855525987499
data\final_submissions\1\1.png,data\ai\1B_18_3.png,0.9392265759452455
data\final_submissions\1\1.png,data\ai\1B_18_4.png,0.9552148394012107
data\final_submissions\1\1.png,data\web\1A_1.jpg,0.9254627279287251
data\final_submissions\1\1.png,data\web\1A_10.jpg,0.8907138736137835
data\final_submissions\1\1.png,data\web\1A_2.jpg,0.9657473970658423
data\final_submissions\1\1.png,data\web\1A_3.jpg,0.9615364338758978
data\final_submissions\1\1.png,data\web\1A_4.jpg,0.9454287166787255
data\final_submissions\1\1.png,data\web\1A_5.jpg,0.9616906759734515
data\final_submissions\1\1.png,data\web\1A_6.jpg,0.9220225840937679
data\final_submissions\1\1.png,data\web\1A_7.jpg,0.9872042595138805
data\final_submissions\1\1.png,data\web\1A_8.jpg,0.9626616276977235
data\final_submissions\1\1.png,data\web\1A_9.jpg,0.9637193980249673
data\final_submissions\1\1.png,data\web\1B_1.JPG,0.9860984185488614
data\final_submissions\1\1.png,data\web\1B_10.JPG,0.965905514976774
data\final_submissions\1\1.png,data\web\1B_2.JPG,0.9622552852003884
data\final_submissions\1\1.png,data\web\1B_3.JPG,0.9614160652526728
data\final_submissions\1\1.png,data\web\1B_4.JPG,0.9733866514198911
data\final_submissions\1\1.png,data\web\1B_5.JPG,0.9619429505877595
data\final_submissions\1\1.png,data\web\1B_6.JPG,0.9656907095623691
data\final_submissions\1\1.png,data\web\1B_7.JPG,0.955938694073992
data\final_submissions\1\1.png,data\web\1B_8.JPG,0.9688538549508915
data\final_submissions\1\1.png,data\web\1B_9.JPG,0.9481815336737108
data\final_submissions\1\5.png,data\ai\1A_11.png,0.9330092712299498
data\final_submissions\1\5.png,data\ai\1A_12.png,0.9330092712299498
data\final_submissions\1\5.png,data\ai\1A_13.png,0.9274066443709859
data\final_submissions\1\5.png,data\ai\1B_11.png,0.976821644331451
data\final_submissions\1\5.png,data\ai\1B_12_1.png,0.9422951065021123
data\final_submissions\1\5.png,data\ai\1B_12_2.png,0.9766085414084398
data\final_submissions\1\5.png,data\ai\1B_12_3.png,0.9473938434369744
data\final_submissions\1\5.png,data\ai\1B_12_4.png,0.9369724849202467
data\final_submissions\1\5.png,data\ai\1B_13_1.png,0.9871434534885101
data\final_submissions\1\5.png,data\ai\1B_13_2.png,0.9645452394151893
data\final_submissions\1\5.png,data\ai\1B_13_3.png,0.9571124856291067
data\final_submissions\1\5.png,data\ai\1B_13_4.png,0.9858352589493323
data\final_submissions\1\5.png,data\ai\1B_14.png,0.9565600003844934
data\final_submissions\1\5.png,data\ai\1B_15_1.png,0.9573500107165718
data\final_submissions\1\5.png,data\ai\1B_15_2.png,0.9564626917322029
data\final_submissions\1\5.png,data\ai\1B_15_3.png,0.9613462132992988
data\final_submissions\1\5.png,data\ai\1B_15_4.png,0.9517871508173464
data\final_submissions\1\5.png,data\ai\1B_16_1.png,0.9719007453310968
data\final_submissions\1\5.png,data\ai\1B_16_2.png,0.9869325789349914
data\final_submissions\1\5.png,data\ai\1B_16_3.png,0.9891915338494447
data\final_submissions\1\5.png,data\ai\1B_16_4.png,0.9801050756805748
data\final_submissions\1\5.png,data\ai\1B_17_1.png,0.962031508962264
data\final_submissions\1\5.png,data\ai\1B_17_2.png,0.9603542084282313
