"[PL] Sygnatura czasowa","[EN] Timestamp","[PL] KOD","[EN] ParticipantID","[PL] 3. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt EFEKTU ZASKOCZENIA:","[EN] 3. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of the EFFECT OF SURPRISE:","[PL] 4. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt INNOWACYJNOŚCI ROZWIĄZAŃ:","[EN] 4. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of the aspect of SOLUTION INNOVATIVENESS:","[PL] 5. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt JAKOŚCI WIZUALNEJ:","[EN] 5. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of VISUAL QUALITY:","[PL] 6. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt NASTROJU SCENY:","[EN] 6. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of the SCENE MOOD:","[PL] 7. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt KOLORYSTYKI:","[EN] 7. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of COLOURS:","[PL] 8. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla osiągniętego efektu projektowego (finalnej koncepcji), z uwagi na aspekt ZESTAWIEŃ MATERIAŁOWYCH:","[EN] 8. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the achieved design effect (final concept), in terms of MATERIAL COMBINATIONS:","[PL] 9. Wybierz obrazek spośród wszystkich zgromadzonych inspiracji (1-20) i wskaż ten, który miał największe znaczenie dla CAŁOKSZTAŁTU osiągniętego efektu projektowego (finalnej koncepcji).","[EN] 9. Select an image from all the collected inspirations (1-20) and indicate the one that had the greatest significance for the TOTAL achieved design effect (final concept).","[PL] 10. Miejsce na dodatkowe komentarze/ uwagi:","[EN] 10. Space for additional comments/notes:"
"2024/06/05 5:25:29 PM EEST","2024/06/05 5:25:29 PM EEST","1A","1A",10,10,11,11,11,11,11,11,11,11,11,11,11,11,,
"2024/06/05 5:47:56 PM EEST","2024/06/05 5:47:56 PM EEST","3A","3A",15,15,20,20,20,20,16,16,14,14,14,14,16,16,,
"2024/06/05 5:48:16 PM EEST","2024/06/05 5:48:16 PM EEST","7C","7C",17,17,12,12,12,12,16,16,19,19,12,12,17,17,,
"2024/06/05 5:49:40 PM EEST","2024/06/05 5:49:40 PM EEST","4A","4A",12,12,3,3,5,5,1,1,10,10,12,12,12,12,,
"2024/06/05 5:51:23 PM EEST","2024/06/05 5:51:23 PM EEST","2A","2A",5,5,14,14,16,16,16,16,1,1,16,16,16,16,,
"2024/06/05 5:52:04 PM EEST","2024/06/05 5:52:04 PM EEST","5A","5A",18,18,9,9,1,1,1,1,1,1,3,3,1,1,,
"2024/06/05 5:54:05 PM EEST","2024/06/05 5:54:05 PM EEST","4B","4B",8,8,4,4,20,20,16,16,8,8,8,8,8,8,,
"2024/06/05 5:54:13 PM EEST","2024/06/05 5:54:13 PM EEST","2B","2B",12,12,17,17,16,16,2,2,11,11,12,12,12,12,,
"2024/06/05 5:58:03 PM EEST","2024/06/05 5:58:03 PM EEST","3B","3B",14,14,18,18,12,12,13,13,5,5,11,11,12,12,,
"2024/06/05 5:58:56 PM EEST","2024/06/05 5:58:56 PM EEST","6B","6B",10,10,10,10,1,1,2,2,2,2,17,17,9,9,,
"2024/06/05 6:07:14 PM EEST","2024/06/05 6:07:14 PM EEST","5B","5B",16,16,2,2,16,16,17,17,14,14,5,5,16,16,,
"2024/06/05 6:08:29 PM EEST","2024/06/05 6:08:29 PM EEST","1B","1B",3,3,16,16,11,11,2,2,4,4,16,16,3,3,,
"2024/06/05 6:22:35 PM EEST","2024/06/05 6:22:35 PM EEST","7A","7A",15,15,5,5,8,8,11,11,8,8,11,11,8,8,,
"2024/06/05 11:44:04 PM EEST","2024/06/05 11:44:04 PM EEST","7B","7B",6,6,6,6,9,9,6,6,6,6,11,11,6,6,,
"2024/06/11 1:13:48 PM EEST","2024/06/11 1:13:48 PM EEST","10B","10B",14,14,13,13,2,2,4,4,11,11,6,6,4,4,,
"2024/06/11 1:16:22 PM EEST","2024/06/11 1:16:22 PM EEST","15A","15A",10,10,1,1,1,1,12,12,16,16,7,7,1,1,,
"2024/06/11 1:17:58 PM EEST","2024/06/11 1:17:58 PM EEST","13A","13A",5,5,9,9,19,19,18,18,3,3,8,8,3,3,,
"2024/06/11 1:18:35 PM EEST","2024/06/11 1:18:35 PM EEST","13B","13B",7,7,7,7,14,14,16,16,4,4,5,5,4,4,,
